Age,Income,Gender,Marital_Status,Credit_Score,Num_Purchases,Membership_Years,Device_Used,Churn
44,70674.1218,Male,Divorced,619.7569365,5,9,Desktop,0
52,60253.78618,Male,Single,599.0884356,5,5,Mobile,1
,48004.12873,Male,Divorced,766.6943705,8,4,Mobile,1
52,66885.18177,Female,Married,658.5055108,7,9,Mobile,1
54,27592.55538,Female,Married,685.5218037,8,9,Tablet,1
64,39259.15819,Male,Single,708.502781,12,2,Tablet,0
31,40930.58332,Other,Divorced,659.382862,2,3,Desktop,0
20,49535.74028,Male,Divorced,666.8442921,6,12,Desktop,0
18,57601.01994,Other,Divorced,573.9362376,4,3,Tablet,1
22,46989.30577,Male,Married,587.271948,7,5,Mobile,0
43,36409.46308,Other,Single,583.6529671,4,13,Desktop,0
,64622.75427,Male,Divorced,692.3820892,4,3,Desktop,0
56,46468.14917,Other,Married,654.9623457,3,10,Mobile,1
,51531.93381,Male,Married,,6,6,Mobile,0
26,58266.01618,,Married,690.6069189,6,2,Mobile,1
32,,Other,Divorced,688.0419523,4,6,Mobile,1
32,50649.07542,Female,Divorced,601.3523806,7,6,Mobile,0
43,65457.10131,Other,Divorced,648.0520719,6,2,Tablet,0
59,52270.54212,Female,Divorced,688.2999173,6,6,Mobile,1
30,62941.95479,Male,Divorced,589.9151252,6,6,Desktop,1
68,58170.01166,Other,Divorced,689.6358735,2,6,Tablet,1
49,,Other,Divorced,671.0716523,4,12,Desktop,0
56,56141.20127,Other,Divorced,580.0560206,2,13,Mobile,1
66,59569.59905,Female,Divorced,665.3857714,4,14,Desktop,1
69,66524.85071,Female,Married,675.5954011,4,5,Mobile,1
49,50954.2664,Male,Divorced,606.1799212,3,7,Desktop,0
21,40432.20355,Female,Single,611.6901445,5,13,Desktop,1
47,42887.81628,Female,Married,579.4106048,6,12,Mobile,1
54,,Male,Divorced,618.5700722,4,5,Desktop,1
40,35745.03548,Other,Single,649.1542593,4,11,Tablet,1
56,54767.07754,Other,Divorced,611.8834489,2,1,Desktop,1
62,40557.25178,Male,Single,546.0578471,9,12,Tablet,0
32,52922.79232,Other,Single,601.7988383,9,9,Tablet,0
60,47619.88334,Female,Single,,8,3,Desktop,1
46,49375.6776,Male,Single,707.1787097,6,2,Tablet,1
53,58340.84972,Male,Married,691.633544,8,10,Tablet,1
30,41871.51313,Male,Married,708.5354755,4,6,Desktop,1
49,,Other,Single,598.2686772,7,8,Mobile,1
24,73509.618,Male,Divorced,659.9085545,6,2,Mobile,1
68,55146.63624,Male,Single,480.3867451,6,4,Tablet,0
39,38268.56472,Male,Married,680.0244279,7,2,Tablet,1
45,40774.72983,Other,Divorced,692.7628372,2,12,Mobile,1
19,46276.05649,Female,Married,625.3862382,7,12,Tablet,0
59,41076.64554,Male,Married,670.6800868,6,9,Mobile,0
62,,Female,Divorced,543.9553007,6,10,Desktop,0
23,52316.10915,Other,Single,593.9253107,6,13,Tablet,0
45,46682.04002,Other,Single,703.5814467,5,2,Desktop,1
45,52845.81325,Other,Single,685.7877295,7,10,Mobile,0
,67795.81118,Other,Single,621.1701842,5,2,Mobile,0
61,46454.70749,Female,Divorced,706.7953622,9,14,Desktop,0
37,32218.69993,,Divorced,659.6808682,6,13,Tablet,1
47,44016.61262,Other,Divorced,614.7045325,5,5,Desktop,1
28,61556.37826,Other,Married,637.2020883,3,12,Desktop,1
45,60151.55406,Female,Divorced,618.1207616,10,5,Tablet,0
42,57779.59471,Female,Single,567.1356834,3,12,Mobile,1
,40629.39915,Other,Married,737.9680064,4,7,Desktop,0
50,61278.53927,Male,Single,610.2382897,4,1,Desktop,0
18,64653.48617,Male,Single,591.73475,5,12,Mobile,0
44,39568.67555,Other,Divorced,542.9456176,8,2,Desktop,0
69,49376.44854,Female,Divorced,465.4822493,2,11,Mobile,1
30,80306.02946,Other,Single,699.1047808,12,11,Tablet,1
58,38901.88585,Other,Single,705.5526081,4,6,Mobile,1
20,24423.69996,Female,Married,733.5127009,2,2,Mobile,1
56,70743.56652,Other,Divorced,639.5672479,3,4,Desktop,0
23,67049.07158,Other,Married,627.4605231,1,10,Mobile,0
25,43145.49015,Other,Married,614.4593821,8,6,Mobile,0
44,48305.12327,Female,Married,620.8409659,8,13,Desktop,0
26,31625.97425,Male,Single,728.3853246,6,12,Mobile,0
54,51334.28409,Male,Married,648.1439326,3,7,Desktop,1
50,67488.70573,Female,Married,676.4649557,5,10,Tablet,1
68,41860.92737,Male,Single,619.0595218,5,5,Mobile,0
59,63156.52968,Other,Divorced,742.4593534,5,8,Tablet,0
61,56955.85786,Male,Divorced,516.6682784,3,6,Mobile,1
41,58667.25336,Other,Married,564.5633078,9,5,Mobile,1
32,42735.36229,Male,Single,676.5797367,6,4,Tablet,0
49,44680.63726,Female,Divorced,772.5427526,7,6,Tablet,1
49,22298.41348,Male,Married,634.242986,5,6,Desktop,1
41,41499.95881,Male,Married,591.0340436,4,6,Desktop,0
,,Male,Single,720.0463894,4,1,Tablet,0
69,36060.01709,Female,Married,672.6588909,3,6,Mobile,1
66,38295.47519,Male,Divorced,740.3149668,11,1,Desktop,1
66,59602.84736,Female,Single,559.6754241,4,5,Mobile,0
69,56041.52438,Other,Divorced,734.816794,6,7,Desktop,1
29,60347.94875,Male,Divorced,541.607978,8,1,Desktop,1
56,32551.6919,Female,Divorced,629.8279498,4,13,Desktop,1
19,,Female,Married,678.8947927,10,1,Tablet,0
20,31763.69939,Male,Married,663.0209365,4,13,Mobile,1
66,,Other,Divorced,724.2414635,6,13,Tablet,1
54,47620.16756,Female,Divorced,522.1337988,6,6,Desktop,0
66,,Male,Single,,5,7,Tablet,0
34,44446.85866,Other,Single,733.9749423,4,6,Tablet,1
66,50349.61401,Female,Married,654.1505959,7,5,Tablet,0
19,40250.40182,Female,Married,570.0362224,3,6,Mobile,0
19,64058.35432,Other,Single,720.5255176,6,13,Tablet,1
45,47575.61382,Other,Divorced,604.6182811,5,14,Tablet,0
40,29880.87993,Male,Married,592.2973892,2,3,Tablet,1
54,28608.11701,Male,Divorced,583.4904973,5,9,Tablet,1
49,59092.47636,Female,Single,636.0920421,1,5,Tablet,0
,27698.43826,Other,Married,662.8142154,3,2,Tablet,1
18,54746.3911,Other,Married,561.1629962,6,14,Tablet,1
36,56669.82779,Other,Single,575.5447886,6,14,Desktop,1
19,35069.66954,Female,Married,601.3861987,12,12,Tablet,1
61,63361.07126,Other,Single,583.1507946,3,10,Tablet,1
43,24233.09564,Other,Married,652.5730759,4,10,Mobile,0
49,54446.88401,Female,Single,675.2855117,3,7,Desktop,0
23,49387.131,Male,Married,665.6711667,4,3,Tablet,1
49,48215.03036,Male,Divorced,665.7732322,0,1,Mobile,1
21,32331.55036,Female,Divorced,766.9694201,7,3,Tablet,0
28,35944.66993,Other,Divorced,679.657852,7,9,Tablet,1
34,74282.03038,Female,Married,704.8774974,3,5,Tablet,1
55,68227.32513,Male,Married,620.9768975,4,7,Tablet,1
41,61131.26883,Male,Divorced,716.08043,6,3,Tablet,0
22,64097.72155,Female,Divorced,617.6353233,4,4,Mobile,1
69,62690.20317,Female,Single,678.8013829,3,1,Tablet,0
51,45149.65682,,Single,554.0043192,4,3,Mobile,1
23,50714.05328,Female,Single,661.6363892,7,7,Tablet,1
39,27912.37433,Male,Divorced,581.7233835,5,4,Mobile,0
28,48654.5656,Female,Divorced,715.5224958,4,2,Desktop,0
65,67751.21374,Female,Divorced,711.3113523,11,14,Tablet,1
33,40089.39128,Female,Single,617.3360829,2,5,Desktop,1
50,65347.11807,Male,Married,793.470245,4,5,Desktop,1
26,51373.78608,Female,Divorced,629.9885193,5,2,Desktop,0
23,29219.42201,Male,Married,537.158677,4,11,Tablet,1
33,33390.2073,Male,Married,595.4617421,4,6,Desktop,0
46,63789.54305,Female,Married,576.9101284,1,10,Mobile,1
20,58287.86128,Female,Single,676.5721471,2,4,Tablet,1
37,51526.46109,Male,Married,563.5245881,9,14,Desktop,1
53,45889.52279,Male,Divorced,612.2550189,6,1,Tablet,1
36,53158.51966,Other,Single,,7,3,Desktop,1
43,63204.44374,Male,Divorced,659.7052126,6,14,Mobile,1
20,72137.79921,Other,Divorced,649.1149331,4,9,Tablet,1
,72855.26299,Other,Single,658.8200363,10,10,Tablet,0
37,55579.39851,Other,Divorced,624.0649932,3,7,Desktop,1
49,47421.02464,Female,Divorced,537.7373561,9,13,Mobile,1
24,52193.72012,Female,Single,622.2213245,0,6,Tablet,1
69,57831.80536,Male,Divorced,682.8124849,8,14,Desktop,1
58,57771.00416,Other,Married,640.4145508,7,1,Mobile,0
50,69619.79956,Female,Divorced,677.4041861,1,9,Mobile,0
,81736.33583,Female,Married,608.9251879,3,13,Mobile,1
56,46921.18056,Female,Divorced,719.6035256,4,9,Mobile,1
35,,Female,Single,471.0577493,4,1,Tablet,0
57,67583.5887,Female,Single,659.9008359,5,14,Tablet,0
18,48487.65515,Other,Divorced,744.4216243,8,13,Mobile,0
28,72478.47258,Other,Single,754.8388961,8,13,Desktop,1
45,75284.72452,Other,Divorced,633.7721682,4,6,Desktop,0
42,43095.56834,,Single,557.1661291,1,7,Mobile,0
67,75983.22879,Male,Married,745.653099,7,2,Mobile,1
40,66126.24232,Other,Divorced,646.3694383,3,10,Desktop,1
48,85528.38692,Female,Married,638.8721323,2,8,Mobile,1
47,43639.42127,Other,Married,587.5001751,7,8,Mobile,0
59,44698.59884,Male,Divorced,562.5078763,2,6,Tablet,0
52,19600.06805,Female,Married,689.4704218,8,9,Tablet,0
24,58567.90881,Other,Divorced,696.8910018,6,3,Mobile,0
33,55628.76883,Other,Married,664.1080801,4,2,Mobile,1
43,41555.09493,Other,Divorced,,6,2,Tablet,0
65,48772.23903,Female,Divorced,575.4500822,5,6,Mobile,1
69,30331.68485,Female,Single,549.7425941,3,7,Tablet,0
66,67976.67429,Male,Divorced,610.7618377,9,6,Tablet,0
19,42654.50788,Female,Divorced,579.5902505,5,11,Desktop,0
18,96410.73523,Female,Married,530.3483213,5,3,Tablet,1
65,47365.98049,Other,Divorced,695.5941509,6,5,Desktop,0
29,38605.71738,Female,Single,557.6655297,5,8,Desktop,1
,43815.30322,,Married,718.8745877,4,6,Tablet,1
54,28820.58535,Other,Married,677.5850197,3,2,Mobile,1
49,57234.07836,Female,Single,670.6038831,2,7,Tablet,1
26,43701.5045,Male,Married,766.5716332,6,8,Desktop,0
58,66968.79186,Male,Married,559.9938156,3,4,Tablet,0
52,45878.78757,Female,Married,711.1640397,4,12,Tablet,1
36,70766.63168,Male,Married,629.1650199,6,1,Desktop,1
65,61361.83624,Other,Single,829.974911,4,2,Tablet,0
33,50428.95165,Other,Single,623.3443898,7,4,Tablet,0
,73703.48881,Female,Married,612.0384165,9,7,Desktop,1
37,64284.40192,Male,Married,679.7875042,10,2,Mobile,0
41,94193.1924,Male,Single,,7,6,Desktop,0
50,43858.17133,Other,Single,596.9075926,6,2,Desktop,0
41,51149.24158,Female,Single,582.0806251,5,12,Tablet,1
,73530.63517,Male,Married,752.0743142,4,7,Desktop,1
28,26846.93282,,Married,568.5576858,2,2,Tablet,1
66,69754.15345,Male,Divorced,665.6161292,3,3,Tablet,1
25,56589.54137,Other,Single,723.9328898,4,9,Tablet,1
53,36676.83867,Other,Married,727.314649,10,13,Desktop,0
55,29554.40512,Female,Single,,2,4,Desktop,0
57,39912.6579,Other,Married,635.567064,1,14,Tablet,0
37,,Male,Single,621.9864549,4,5,Mobile,1
52,42656.90834,Other,Married,542.5486866,9,9,Mobile,0
65,59338.345,Female,Divorced,687.6262168,6,7,Desktop,1
42,42855.49039,Female,Divorced,652.6952552,10,8,Tablet,1
52,70824.69052,Female,Single,750.8409556,6,11,Tablet,1
42,74899.21404,Male,Married,592.3756432,4,3,Desktop,1
46,69134.66724,,Married,726.2087591,4,11,Mobile,1
35,53459.61365,Male,Single,731.1463905,9,11,Desktop,1
63,15129.81091,Male,Married,653.2950181,5,4,Desktop,0
35,39444.53762,Male,Single,498.03969,4,7,Tablet,1
19,47869.4221,Other,Married,614.120264,2,4,Desktop,0
52,36591.98526,Male,Single,775.0109787,5,2,Mobile,1
33,47907.41787,Male,Married,670.793904,4,14,Desktop,0
58,74151.01203,Other,Single,698.5379794,5,10,Tablet,1
53,25313.35206,Male,Married,643.7583393,2,6,Mobile,1
50,77175.38084,Female,Divorced,634.3589963,6,9,Tablet,0
21,63270.89633,Male,Married,,5,2,Desktop,1
50,54023.25212,,Single,705.6317452,4,1,Desktop,1
31,39295.75166,Female,Divorced,725.5776843,4,8,Desktop,0
38,36890.74482,Female,Married,583.43964,2,1,Tablet,0
65,25606.73428,Female,Divorced,637.4801415,4,1,Desktop,1
37,75751.4822,Female,Married,628.0381106,6,3,Mobile,0
25,73064.1734,Male,Divorced,679.4107306,5,5,Mobile,0
24,28905.73057,Female,Single,611.8945493,7,13,Tablet,1
20,41710.58008,Female,Married,715.1938646,1,12,Tablet,0
34,56497.17154,Other,Married,654.9927021,2,9,Tablet,1
50,45507.36293,Female,Single,471.5403861,5,11,Desktop,0
65,21219.87864,Female,Divorced,680.9904193,6,10,Mobile,1
29,40133.40859,Other,Single,,8,2,Mobile,1
68,,Other,Single,569.3556838,5,12,Mobile,1
39,41150.32114,Male,Divorced,678.6108854,9,12,Tablet,0
39,47547.98995,Other,Single,778.0971769,1,1,Tablet,1
63,32822.33864,Male,Married,657.8446463,3,1,Desktop,0
47,58816.44478,Other,Married,729.9140205,5,8,Tablet,1
55,51727.27699,Other,Married,619.0491521,4,10,Mobile,1
55,38869.70388,Male,Single,648.7424998,2,10,Desktop,1
62,30430.16906,Other,Married,635.6765098,4,10,Tablet,0
68,71068.15061,Male,Married,622.9015702,2,2,Tablet,1
25,25916.8489,Other,Married,639.6594568,3,13,Mobile,1
44,57557.23543,Female,Married,535.8522753,9,9,Desktop,0
44,17691.81133,Other,Married,626.8383906,5,9,Tablet,1
51,60608.17525,Male,Married,743.6464519,2,2,Tablet,1
38,64554.48331,Other,Single,582.541696,6,3,Desktop,0
47,66421.75567,Male,Married,575.370671,6,2,Desktop,0
50,47581.87297,Male,Married,654.284866,6,6,Tablet,0
45,73760.05408,Female,Divorced,657.78282,4,7,Tablet,1
64,84616.87542,Female,Single,,8,12,Mobile,0
50,45175.65296,Male,Single,642.0382999,5,6,Desktop,1
22,43234.92455,Other,Single,655.0304915,8,3,Tablet,1
65,52237.65891,Male,Single,625.4380658,9,12,Tablet,0
36,42834.79781,Male,Married,560.6942691,5,3,Tablet,0
21,40641.94706,,Married,645.0025692,6,12,Tablet,1
52,41948.9219,Other,Divorced,700.7217898,6,2,Mobile,0
66,75736.34012,Other,Divorced,686.0538238,6,2,Desktop,0
34,61578.22993,Other,Single,527.9030511,6,11,Tablet,1
61,,Male,Divorced,667.6347754,2,12,Desktop,0
45,13173.12461,Male,Divorced,587.5061332,2,5,Desktop,0
47,26833.0326,Female,Single,747.4514804,6,11,Tablet,0
46,57551.43624,Male,Single,672.8388848,8,11,Tablet,1
63,18176.66088,Other,Divorced,712.7398772,6,8,Tablet,0
23,54394.90291,Female,Married,651.4817701,8,6,Mobile,0
52,34016.54413,Other,Divorced,,5,9,Tablet,1
58,51377.08662,Male,Divorced,754.7091442,6,11,Desktop,1
54,50957.84452,Female,Married,718.0942078,8,5,Desktop,1
,51808.84901,Other,Married,658.2501057,2,10,Mobile,1
46,44083.67229,Female,Single,636.0233502,8,4,Tablet,0
66,43590.71562,Female,Single,530.4977692,2,9,Tablet,1
63,39188.14372,Male,Divorced,672.7197274,8,12,Mobile,1
,57258.38476,Other,Married,641.1727221,3,10,Mobile,0
52,62077.89012,Female,Single,688.7769233,9,11,Tablet,1
50,,Female,Divorced,710.0473189,7,14,Tablet,1
69,49225.57292,Other,Married,736.3044767,7,5,Desktop,0
38,52948.7311,Female,Divorced,673.5895038,4,1,Tablet,1
49,52756.56702,,Single,576.7547674,8,5,Tablet,1
,52501.54429,Female,Single,499.5480514,3,5,Desktop,0
50,43969.47784,Other,Married,592.2710098,5,5,Desktop,0
20,54185.45638,Other,Divorced,743.344195,3,13,Desktop,0
35,59270.43066,Other,Married,777.6444029,4,2,Desktop,0
42,52115.54984,Other,Single,633.3469474,2,13,Mobile,0
59,57589.09755,Male,Single,547.7328522,2,6,Desktop,0
48,64855.30117,Female,Divorced,,5,5,Mobile,0
,22235.89463,Other,Divorced,729.6464076,9,2,Desktop,0
57,64151.95763,Female,Divorced,608.6290779,6,12,Desktop,0
63,55136.41648,Female,Married,691.2386763,5,10,Desktop,0
41,33325.62008,Male,Divorced,661.7990811,1,14,Tablet,0
,62037.06323,Other,Divorced,699.7002281,6,8,Mobile,0
49,44025.18641,Other,Single,777.2607699,6,6,Desktop,1
64,46070.50346,Female,Single,691.2847033,3,11,Tablet,0
39,42384.80326,Other,Divorced,660.2841394,4,10,Mobile,0
40,54535.98266,Female,Divorced,784.9861496,4,12,Mobile,0
19,38219.70286,Female,Single,674.4686471,4,11,Tablet,0
44,,Male,Divorced,594.4936752,5,3,Mobile,0
59,47917.06119,Male,Married,698.1225703,7,9,Tablet,1
19,44536.96275,Male,Married,681.3218879,7,13,Desktop,1
43,61293.13516,Female,Married,628.446836,5,11,Tablet,1
34,45206.64857,Other,Divorced,613.7689763,13,11,Mobile,1
57,64222.65238,Male,Single,629.1218359,8,14,Mobile,0
50,64693.89426,,Divorced,612.767745,2,4,Desktop,1
26,,Male,Divorced,631.3968127,3,3,Tablet,1
,66638.90303,Male,Single,591.0042378,5,7,Desktop,0
65,28069.46043,Female,Single,677.0308282,9,12,Tablet,1
56,67573.7079,Male,Single,671.784092,7,13,Tablet,1
46,80425.35788,Male,Married,674.1641244,6,14,Tablet,0
59,63122.51657,Female,Divorced,645.6341462,7,8,Desktop,0
43,17645.29033,Other,Single,637.5635721,5,7,Desktop,1
52,65953.48579,Male,Divorced,750.9404058,6,1,Mobile,0
67,83691.93449,Female,Married,654.7184121,4,1,Desktop,1
42,45454.52539,Male,Married,738.4636792,3,13,Tablet,0
41,49479.4502,Female,Single,580.2508812,7,5,Tablet,1
30,32172.69917,Other,Single,691.2424484,6,14,Tablet,1
24,54681.19128,Other,Divorced,598.5707874,4,8,Desktop,1
53,69037.65774,Female,Single,611.069365,5,14,Mobile,0
62,60466.05692,Female,Divorced,621.1665912,5,10,Desktop,0
37,97129.50466,Female,Single,616.7780722,3,11,Mobile,1
18,50495.40564,Other,Divorced,617.127674,2,3,Desktop,0
25,25539.89949,,Divorced,735.2092563,1,8,Tablet,0
63,52564.56457,Other,Divorced,,3,3,Mobile,1
33,13753.22352,Female,Divorced,665.7538772,2,4,Desktop,0
31,42003.44113,Female,Married,617.9988026,6,10,Tablet,0
29,74365.73088,Other,Divorced,709.9857513,4,7,Mobile,1
68,54877.00473,Female,Single,674.8539395,4,3,Mobile,1
40,,Other,Married,628.3749949,7,4,Tablet,0
32,77311.70565,Female,Married,539.1001275,4,8,Tablet,0
45,45941.00163,Male,Divorced,665.1407521,3,4,Desktop,0
51,68927.30619,Male,Married,690.2975666,4,9,Desktop,1
19,51939.60463,Female,Divorced,581.4806513,4,4,Tablet,0
49,55700.71195,Other,Single,629.3223767,5,13,Desktop,0
40,31740.42716,Male,Divorced,687.6012351,6,14,Tablet,0
39,42769.29808,,Married,540.035036,3,4,Tablet,0
